AHsarvataH
AtmaivabhA
AvartimaHs
AvedyatAma
Avepatebhr
AviShkRtAm
AyAmtiyatr
AyAsashoka
AyAtiphula
AyAtiyAtip
AyasyatAva
Ayurbalamv
AyustaDich
ChAyAphalA
ChAyAviyog
Ishepadapr
RjvAyatAmc
RjvAyatAmh
RxairvRtoh
Uraushiras
UrudvayamR
Urudvayamk
aShTAmgayo
abdhirmatR
abhyarthya
abhyasyave
abhyuddhRt
abhyulasam
abhyumatas
abhyumatep
abhyumatos
abhyuxitos
achChAchCh
achChAsuha
achChaprak
achChidram
achChimekh
adhvashram
adhyetimRt
adyApidhAv
adyApikoka
adyApikopa
adyApimasp
adyApimemi
adyApimeva
adyApimirm
adyApimojj
adyApisAma
adyApisAmamasis
adyApisumd
adyApitAma
adyApitAmaHpari
adyApitAmabhivi
adyApitAmahamal
adyApitAmakhalu
adyApitAmalamas
adyApitAmamibhR
adyApitAmamumayatyap_1
adyApitAmarumay
adyApitAmasRmac
adyApitAmavahit
adyApitAmavavay
adyApitAmavigam
adyApitAmayidRs
adyApitAmayigat
adyApitAmayikRt
adyApitAmayikap
adyApitAmayimim
adyApitAmb
adyApitAmc
adyApitAmd
adyApitAmg
adyApitAmgalita
adyApitAmgamama
adyApitAmibhRta
adyApitAmidhuva
adyApitAmidhuvamemad_1
adyApitAmimRduv
adyApitAmimamac
adyApitAmipariv
adyApitAmj
adyApitAmjagham
adyApitAmjhaTit
adyApitAmkaTisa
adyApitAmkamaka
adyApitAmkamakachamp_1
adyApitAmkamakapatra_1
adyApitAmkuTila
adyApitAmpratha
adyApitAmprathamasam_1
adyApitAmr
adyApitAms
adyApitAmsalali
adyApitAmsamapa
adyApitAmshikha
adyApitAmstimit
adyApitAmsumipu
adyApitAmsurabh
adyApitAmsurata
adyApitAmsuratalabdh_1
adyApitAmsuratatAmDa_1
adyApitAmsuratatAmDavasUtra_1
adyApitAmsuvada
adyApitAmsuvadamAmst_1
adyApitAmu
adyApitAmupavam
adyApitAmurasij
adyApitAmv
adyApitAmviraha
adyApitAmx
adyApitAmxitita
adyApitAmy
adyApitadv
adyApitadvikasi
adyApitama
adyApitamadamak
adyApitamasisam
adyApitata
adyApitatk
adyApitatkRtaka
adyApitatkamala
adyApitatp
adyApitatpracha
adyApitatsurata
adyApitatsuratakeliv_1
adyApivAsa
adyApivism
adyApiyema
adyApyaham
adyApyahamsaras
adyApyahamvarav
adyApyahamvikac
adyApyahoj
adyApyasho
adyAshamam
adyaivayat
adyaprabhR
agredhamuH
airAvamAma
airAvamamt
airAvamesu
akliShTabA
alpApakAra
ambAmathAr
ambhobhaja
ambhojagar
ambhojimIv
ambhomidhe
ambhomuchA
ambhoruham
amdhIkarom
amdhamdari
amdhasyame
amgAmimeda
amgArahAsi
amgIkurutv
amtaHprata
amtaHpravi
amtaHpurIy
amtaHsamut
amtaHsharI
amtarbahis
amtarbalAm
amtargRham
amtargatAm
amtargatoy
amtarhites
amyAjagadd
amyAmgamAb
amyAprakAm
amyApriyem
amyAshchir
amyAsutAva
amyatrayAp
amyehiduHk
amyepisamt
amyepisamtibata
amyomyarAg
amyomyasam
amyomyasamvalit
amyomyavAr
amyopicham
aprAkRtaHs
aprAptakel
aprAptaval
ardhAsames
ardhamjita
ardhamkala
ardhamstri
ardhasmite
arkAbhimuk
arthAhasam
arthAmasam
arthAmasamtimac
arthamdhig
artheShukA
arthemakim
arthogirAm
arthostich
ashrAvibhU
asmAkameka
asmAmavehi
asmAmvichi
asmAmvichitrava
asmAtparam
asmaikaram
asmatprayA
asmimagRhy
asmimahaty
asmimarauk
asmimjaDej
asmimjarAm
asmimkarIm
asmimprakI
asmimsakhe
aspRshyasa
astAdripAr
astAvalamb
astamgatem
astamgates
astamgatoy
asthAmagAm
astodayAch
astodayAdr
astodayAdrimami
astokavism
astramvimu
astraprayo
astvaxarag
asyAHkushe
asyAHsugam
asyAmamasy
asyAmapUrv
asyAmsakhe
asyAmukham
asyAstamau
asyapracha
atrAmtarec
atrAmtarek
atrAshitam
atraivadAs
atrardrach
atyAdarema
atyAjilabd
atyAyatair
atyamtabhI
atyamtamam
atyamtashI
atyuChrito
atyuddhRtA
atyumatast
atyumatastamayu
atyumativy
auShmAyamA
autsukyamA
avyAdhigAt
avyAjasumd
avyaktamax
axeShviyam
axmorvipax
axoThashum
bAletavAdh
bAmAgmimas
baddhAyada
bamdhUkabamdhur
bamgAlidAs
bhItAsimai
bhRmgAmgam
bhUmausthi
bhUyastarA
bhUyomipIy
bhadrAtmam
bhagmAmvay
bhaktampra
bhimAmahAg
bhixAshama
bhixAshamambhav
bhoHshrAdd
bhobhoHkar
bhopAmthap
bhorohimit
bhrAjiShma
bhrAmyamah
bhrAtardvi
bhrUpalavo
bhugmAlaka
bhuktAmRmA
bhuktAmiya
brahmAdayo
brahmAmDas
brahmaivas
buddherago
chIrAmikim
chamchatbh
chamdraHxa
chamdramka
chamdramsa
chamdrojaD
cheTyaHkad
chelAmchal
chetaHpras
chetoharAy
chimtAmame
chitemives
chitramata
cholAmgamA
dAmArthimo
dAmamdadat
dAsekRtAga
dAtAmadApa
dAtuHparop
dAtumparop
dIrmopiche
dRShTasyay
dRShTerava
dRShTistRm
dRgbhamgab
dUtitvayAk
dUtomasamc
daShTejaga
daimyamkva
daityAsthi
daiveparAg
damtAmchal
darpAmdhag
darshemdut
datamayApa
daurjamyam
devoharirv
dhAmyAkamA
dhArAdhara
dhRtvApada
dhUmAyitAd
dhUmaHpayo
dhamvamtar
dhamyAHshu
dhamyAsiyA
dhamyAsiya
dhamyAstae
dhatUradhU
dhatUrakam
dhatebhara
dhigvArida
dhiktasyam
dhumvamtya
digvibhram
digyamtrat
dikshrItam
dimDalImuk
dimDalampa
dishyAmahA
dishyAtsas
dishyAtsuk
doShAkarop
dorbhyAmti
drAxAmprad
dugdhamcha
durgAmadIs
durmamtrim
durvAravIr
dvAramgRha
eShAbhaviS
eShAgataiv
eShAhimera
eShAjigISh
eShAlatAya
eShaivakAc
eShohamadr
eShojaTasy
eShyamtyav
ehyehivats
ekAkimIyad
ekAmiShapr
ekAmtamamd
ekAmtasumd
ekApavarga
ekAvalIkal
ekIkRtastv
ekaHkhalop
ekaHprayAt
ekaHsaevap
ekaikamaxa
ekaivasAmR
ekamhichax
ekapriyAch
ekastridhA
ekastvamAv
ekatramAsy
ekemachetp
ekemachetparihR
ekemakemac
ekobhavAma
ekohikhamj
ekombudhir
ekopivAram
ekopiyaHsa
ekorasaHka
emAmamamda
emIdRshaHs
emIgameShu
emamvihAya
etAHpraphu
etAHskhala
etAdRsheka
etAhasamti
etAhasamticharu
etAmavAmbu
etAmiShikt
etAmibAlad
etAmimiHsa
etAmitAmih
etAmitAmim
etAmshChim
etAmviloka
etAmyahAmi
etAshchala
etAsuketak
etadadhAti
etadvibhAt
etajaDAjaD
etamaremdr
etasyajAmg
etasyasAva
etasyavesh
etatkarAla
etatkavImd
etatpayodh
etatpracha
etatpuraHs
etatumAmda
eteShuhAta
etedaridra
etepuraHsu
etevayamta
evamaresha
evambahUma
evamgatasy
evamisarga
evamviShah
evamyathAh
gAyamtukim
gamDasthal
gamgAmchad
gamtumpriy
gamturviva
garvAyasev
gaurItamur
govardhamo
hAhamtamAm
hAraHprala
hArojalArd
hamsaHpray
hamsomabhA
hamsovibhA
hatvApatim
hehemakAra
hehemaketa
hekIrakair
hekokilAkh
heramgahem
hetoHkutop
hitvAmadam
iShTAmakhA
imdIvarAxi
imdIvarema
imdIvaroda
imdroyamos
imdumukhAd
imduprabhA
itthamkriy
itthamsamu
itthamsvad
itthamvihR
ityaihikem
ityudgates
jADyamdhiy
jAtashcham
jIrmAtariH
jamaivamAs
jhamjhAmil
jmAmAbdhir
jyAkRShTib
jyotistamo
kAchidvibh
kAchidvihR
kAchidvilo
kAchimivAr
kAchitkRtA
kAchitpurA
kAdIyatAmt
kAdambimIkimiya
kAdurdashA
kAkAHprabh
kAkAbalAmi
kAkApriyAp
kAkaHsvabh
kAkumkaroS
kAlAguraus
kAlAgurupr
kAlAmapAsy
kAlakramem
kAlampurAg
kAlaxayAda
kAlemahaty
kAletarora
kAlobhyupa
kAlomadhuH
kAmAmushAs
kAmamapash
kAmambhava
kAmambhavamtusa
kAmamdaham
kAmamharir
kAmampradI
kAmamprado
kAmamshive
kAmamsudhA
kAmamvapuH
kAmamviSha
kAmchIguma
kAmchIkala
kAmomimagm
kAmtAdharA
kAmtAjamam
kAmtAjamem
kAmtAkaTAxavish
kAmtAmavAd
kAmtAmukha
kAmtAmukhadyuti
kAmtAmurAg
kAmtArabhU
kAmtAruchi
kAmtAsuhRd
kAmtaHkRtA
kAmtaHkara
kAmtamirIx
kAmtamvich
kAmtekRtAg
kAmtetathA
kAmtevichi
kAmtevilAs
kAmtosimit
kAmtyAsuva
kAmujahAra
kAramDavAm
kAsArashoS
kAsAryavar
kAsamsRtiH
kAshAmshuk
kAshairmah
kAshmIraga
kAshmIraka
kAshmIrapa
kAshyAmipA
kAtyAyamIk
kAvyAtmamA
kAvyaikapA
kAvyamkaroShiki
kAvyamkaromimah
kAvyamkarotupar
kAvyemamUr
kAvyeshubh
kAyastapas
kIrtimRmAl
kIrtistava
kIrtyAsyac
kRChremakA
kRShmamvap
kRtvAprabu
kaHprArthy
kaShTamvam
kaShTojama
kachChAmva
kalolasamc
kalolaveli
kalpadrumA
kalyAmamAv
kalyAmavAk
kalyAmicha
kalyAmipAm
kamThAvasa
kamThagraheshit
kamThashri
kamThekaeS
kamaspRsha
kamchitxam
kamdarpada
kamdarpakamdali
kamkelireS
kampaxitIs
karmAmyaja
karmadvayA
karmamyakarmavi
karmasphur
karmatyaje
karmejapAa
karmejapaH
karmevatam
karpUracha
karpUradhU
karpUrapUratula
karpUrarep
karpUravar
kashchitpu
kasmAdidam
kasmaicham
kasmimvasa
kastUrikAm
kastUrikAmharim
kastUrikAt
kasyAmimeS
kasyApikopyatis
kasyodapat
kechidvada
kechidvadamtyam
kechitilas
kelimkuruS
kemAmjitAm
kemApyamar
kemAtracha
kevAmasamt
khaTvAmitA
khyAtAmarA
khyAtAvaya
kimAlatIku
kimadrumAj
kimbAmdhav
kimbhUShamamsud
kimjalkarA
kimjamAcha
kimkAramam
kimkaumudI
kimketakIk
kimketakIp
kimkokilas
kimkomalai
kimrevidho
kimshIkara
kimtemahem
kimtemisar
kimuktamAs
kimvIrudho
kopastvayA
kopyeShakh
krIDArasem
kurvamtumA
kvaprasthi
lAmgUlachA
lAvamyakAm
lIlAsmitem
lajAgumaug
lajAmaheva
lajAmvihAy
lajAvashAv
laxmIHsvay
laxmImivAs
laxmImtamo
laxmixamas
lokatrayas
lokekalamk
lokotaramc
lolAmshuka
lubdhasyam
mAbhIbilAm
mAbodhivai
mAchakrach
mAgAviShAd
mAgarvamud
mAkamdarAj
mAlIkabham
mAlimgitAm
mAlimyamab
mAmAgmivar
mAmAsasAdh
mAmAvidhap
mAmamdikai
mAmdIpadAm
mAmomatety
mAmtaHprav
mAmtarvich
mArasyamit
mArtamDama
mAshcharya
mAtaHparam
mAtevaraxa
mAyAtivADa
mAyamprayA
mIchamsamR
mIlotpalol
mImAmsakAH
mIvIdRDhAr
mRtyashram
mUDhemiram
mUmamhitek
madvAmimAk
maivAlavAl
mamdAdaraH
mamdAramed
mamdamgaru
mamdamidhe
mamdasmite
mamimdayAy
mamthAmabh
mamvAshray
maprApmuva
masvAmkare
medamsamIr
medamsaraH
medamukham
meghAtyayebhava
meghAtyayebhavatikAs_1
merUrukesa
miHpItapIm
miHsmehami
midrAmvidU
midrArdham
midrAtimai
mimdamtumI
mirmuktasa
mirmuktash
mirvAmagoc
mitramkala
mityamirAv
mlAmasyajI
mohAmayAsu
mohamrumad
mugdhasyak
mugdhasyat
mugdheprat
mugdhetavA
mugdhevidh
mukteShura
muktirhimA
myAyaHkhal
myastAmida
pAdAhatopi
pAdAhatoth
pAdAstaeva
pApamsamAc
pArImdrash
pAsyamtika
pAtAlataHk
pAtrampavi
pAyAdgajem
pAyAtsavaH
pItastuShA
pItoyataHp
pItvAbhRsh
pRthvIpate
pUrvAmxama
pUrvamdvir
padmAkaram
padmApayod
padmAtapat
pamchAsyap
pashchAtya
pashyAmitA
pashyamtim
patrAdhika
patrAmikam
paulastyap
pauramsutI
phuleShuya
prAchIdiga
prAchImahI
prAdurbhav
prAkpAdayo
prAleyamis
prAleyasha
prAmAmikIv
prAmAmyamA
prAmeshvarekima
prAptAHshr
prAptamayA
prAptevasa
prArabhyat
prAyaHsvabhAvam
pratyamgam
pratyamkam
pratyarthi
pratyaxara
premAmRtem
premaivamA
rAdhApumAt
rAjIvajIva
rAjIvimIvi
rAjalATaph
rAjamdudhu
rAjamvibhA
rAjyamshat
rAkAsudhAk
rAkAsudhAkaraka
rAmAvilola
rAtrirgami
rAtrirgatA
rUxamvapur
rUxamvirau
raktAbjapu
ramyAmivIx
ramyamjugu
rathyArajo
ratmAkaras
ratmAkarep
ratmAkaroj
rebAlakoki
repadmimId
rerAjahams
rerekhalAH
rererasAla
rikteShuvA
romamthamA
sAdugdhamu
sAkamkuram
sAlaktakam
sAlaktakem
sAmamdakam
sAmamdameS
sArAmamIya
sArdhamora
sAtoramAmt
sUchImukhe
sUryasyakA
sadvRtasad
sadvamshaj
sadyaHpurI
sambhAvyam
samdarshay
samdhyAmat
samhArakAl
samketakel
samketakum
samohayamt
sampAditAH
samprApmuv
samtudrumA
samvardhit
sarpAHpiba
sarvepivis
satpAdapAm
satpUruSha
satyAmRtAc
satyamgumA
saubhAgyar
saujamyadh
saurabhyag
seyamsthal
shAkhoTash
shAstramsu
shIlAvalam
shRmvampur
shUrorthas
shabdAmvic
shabdArtha
shabdaHpra
shakrAdara
shaktimpra
shambhorad
shambhusva
shashvamis
shastrIkRt
shastrairh
shlAghyaiv
shoShamgat
shreyAmsiv
shreyAmvid
shreyaHsad
shrutvASha
shuddhaHsa
shuktaubha
sidhyamtik
simdhoHsud
smehopapam
smerAdisha
spRShTolas
sphAremasa
sragdAmamU
stabdhasya
sthAmeShus
sthitvAxam
stokAstras
strIShupra
svAmimprab
svAmodavAs
svArthamdh
svapmepide
svarbhAmur
svastyastu
svedArdrav
syAdevatoy
tAlItarora
tAmImdriyA
tAmImdriyAmisak
tAmhemacha
tAmimdusum
tApApahesu
tApichChag
tArAdhimAt
tArApateku
tArAxatAmp
tAtAryamam
tAvachakor
tIvroShmad
tIxmAgrahe
tIxmamravi
tUmIrabamd
tadvaHpram
tamAstikAr
tamvIshara
taptAmahIv
taptemahAv
tarkeShuka
tasmaimama
tasyAmahAv
tatadvadat
temAmasamt
tesAdhavob
tetIxmadur
trailokyab
troTIpuram
tuShTosmit
tvAmamjamI
tvAmpAtumI
tvamjAmada
tvatkhaDga
tvatpatram
tvayAgatek
tyaktvAyuv
uchAvachAm
uchChairga
uchairmahA
uchaistama
uchaukucha
udAmadamta
udAmadaxim
udAmadigdv
udIpitopik
udamDakoka
udbhAsitem
udbhimayau
udbhrAmtab
uddhUtapAm
udgarbhahU
udghATyayo
udvRtadait
udyAmapAla
udyachChat
udyadviloc
udyamChash
udyamahAmi
udyamtumAm
udyamtvamU
udyogimamp
uktAbravIS
ulAsyakAla
umAdagadga
umIladambu
umIlayamti
umatadhUrt
umatakamTa
umidrakamd
umuktakamc
utIrmabhAr
utkRShTama
utkUjatibh
utkUjatish
utkamThitasyahR
utkamThitasyahRdayAm_1
utkampimIb
utkhAtadai
utpAdayaty
utpAditAsv
utpAdyayat
utpAtakamt
utpAtaketu
utpaxmamor
utphulamAm
utphulapam
utphularam
utsAhakAra
utsAhitAsa
utsAramapr
utsAryakum
utsRShTama
utsraShTum
utumgashai
utxiptamuC
vAmChaivas
vAmImamaiv
vArtAchaka
vAsastadev
vAtairvidh
vIrAyiteSh
vRddhAmgam
vaibhAtiko
vaidyAvada
vairAgyabh
vaktrAmipa
valgatkach
varShAsubh
varShAsukA
vaxaHsthalIvada
vaxaHsthalIvimi
vaxojachih
vegajvalad
vemIviDamb
viShvaktap
vibhramyak
vishvAbhir
vishvasyah
vishveshva
vitemakimv
vyAdhUtake
vyAdhUyaya
vyAdhrIvat
vyAjRmbham
vyAkoshako
vyAlolavAs
vyomIvamIr
xomItalesh
yAchmApada
yAmtyAHsar
yAmtyAmuhu
yAsAjagatp
yAtosmipad
yAtyekatos
yAvatphalo
yaHkamduka
yaHkumtapA
yaHprImaye
yaHsatpada
yachimtita
yadbhUlate
yadbimbama
yadvismaya
yadyadhvam
yamAdRtast
yamjusimji
yasyAhurAg
yasyAmsake
yasyatvayA
yasyodayeg
yasyopavIt
yatAdRsheS
yatpalavaH
yatraxipAm
yatsadgumo
yebAhavoma
yekamdarAs
yekevichit
yemAmakech
yemoShitam
yemotpalAm
yevardhitA
yevardhitAHkari
yomtaHprav
yoraktatAm
yuShmAkama
yuktamyayA
