AbAlyAdeva
kAmtamkamd
kAmtetvame
kAmteyAmik
kApyamghrI
kAramjIHkU
kAramjImku
kArmATIsva
kAryopaxep
kAsArepadm
kAshIxetra
kAtrashrIH
kAverItIrabhUmI
kAverIvAri
kIlAlaiHku
kRShTAkesh
kRtvAkArmA
kUTAlamkAr
kUrmaHpAdo
kUrmaHpAtA
kachitkAmt
kahlAraspa
kailAsAdrA
kalolaxipt
kalpAmtakr
kalpAmtekr
kalyAmAmAmidhAm
kalyAmamva
kalyAmamvo
kalyAmolAs
kamThAlamk
kamThekRtA
kamyAgosha
kamyAmkAma
karmATamde
karmAbhyarmAris
karmAmiShT
karmetATam
karpUrIyam
kartAdyUta
kasmimChet
kasmimshet
kastUrIyam
kastUryAta
kastvambra
kastvambrahmama
kasyAmchid
kechidbadd
kekAkarmAm
keyamUrghm
khyAtaHsha
kimChatram
kimchimirm
kimkimsimh
kimkimsimhastat
kimsyAdbhA
kimtRShmAk
kohamkaude
kokAmudgrI
kosaumAtar
kroDamtAta
krodheddha
kupyalamke
kurvamAbhu
kurvegarvo
kvaitadvak
kvedAmImda
lAmgUlemAb
lIlAdolAti
lImeshrotr
lagmamrAgA
lajetvamaj
laxmIkrIDA
lekhamtIvy
lokeshaHka
mAdhamyAmA
mAdyamAtam
mAghashcho
mAhamraxom
mAmodastAk
mAmsAxIkRt
mApexeshab
mIraxIregR
mItvochair
mRtyadbhar
mRtyatvadv
mUrdhmAkal
mUrkhoshAm
malaiHshai
mamcheromA
mamratvemo
mamthAyast
mamyemRtyo
matvAsAram
maulaugamg
mepAlImAma
miHshamkamyatad
mirmajacha
mirvRtyaiv
omkAresatp
omkAroyasy
pAThampATh
pAdAmguShT
pAdasyAvir
pAmIyamAri
pAmiHpAtra
pArImdrAmA
pArshvAsph
pAtAlemamj
pAyAdAyAsa
pAyAmAyAmR
pIThIpraxA
pItaHkrudd
pItogastye
pItvAgarja
pRthvItAva
pUrvatrAsi
pakvAmipra
paryamkagr
pashchAdam
pashyamtis
patrachChA
paurastyai
paxAvutxip
paxmAlIpim
pitroHpAdA
prAchIbhAg
prAchImAla
prAjmAmAme
prAmAghAtA
prAmAyAmop
prAptAstrA
prAsaprota
prAtaHsIma
pratyagrom
pratyekamd
prauDhachC
prauDhimdh
prodyatpra
pumsaHsamb
rAjArAjArc
rAmatvatkI
raktamakta
redhRShTAd
rerelokAHk
sAdhvImAdh
sAmamdamdi
sAxAtpremA
sAyamkAlev
sadbuddhiH
sadratmasp
sajamtAmku
samArgetAv
samdhyAvad
samgrAmaxo
sampatkasy
samrambhod
samsAresmi
samsAresmimasAr
samshliShT
samviShTog
sarpIvaiSh
satkaumaml
savyAsavyo
setumsambh
shAmtermAt
shaivAlash
shaktiHsar
shaktirmis
shamkuvyAk
sharvAmIpA
shrAvamshr
shrIkamThA
shrIkarmap
shrImadvai
shrIvIratv
shrotramha
shrutvAmAm
shrutvAtam
shuddhAmte
shyAmAsupr
shyAmashve
siddhamsat
siktAyAmvI
simdUrAmIv
simdhuShva
simjAmairm
skamdhevim
spRShTAkRS
sphItamshI
sphUrjadbr
sthAmAmirg
sthitvAdha
svIyodAmap
svachChamdaikas
svargAdgop
svargekalp
svechChAra
tArAviShmU
tAvadgarjamtivI
tAvatkarmA
tadvaktram
tatadigjai
trailokyat
tumgabrahm
tvadbAhodd
tvatkhamgA
tvatprArab
uChvAsaHkh
uchIyamtes
uchaiHkaly
uchairbrah
uchairutAl
uchairutAlagamD
udbaddhebh
uddhUtAdhU
udvAhAropi
udyadbAlAk
udyadbAlAm
udyadgamdh
udyatArAdh
udyatArumy
ujjhamtyaH
umIladyauv
umIlalIlam
umIlametra
umUlyAlAma
urvImgurvItimur
urvImudAma
utamsaHkek
utiShThamt
utkRtyotkRtyaga
utpatyutpa
utphAlamhe
utthAyotth
vAdAmAshAm
vApIpAtAla
vAryamtAmd
vIrAmAmrum
vIratvadva
vIratvamkA
vRmdAramyechara
vRmtaiHxud
vaikumThAb
vaktrevalg
vatsemAgAv
vaxaHpIThe
velAmulamg
vemIbhUteS
vidrAmerud
vidvadgoSh
vidyAvamto
vighmeshaH
vighmeshov
viprebhyaH
vishveshov
vyAlolaHke
vyAmishrai
vyomastApi
vyomavyAlo
xIrodIyamt
xubhyatpra
xudrAHsamtrAsam
yAsRShTiHs
yAtItaHpAm
yAvatpaula
yUthAmyagr
yaHsadyaHk
yaHsimdhau
yakRtvAvis
yamdRShTvA
yasmAdAkrA
yasmAdAsIt
yasmimkhaD
yastIrthAm
yasyAgmiHk
yasyAjamAm
yasyochChi
yasyodyadb
yatkIrtiHk
yeShAmshrI
yebrAhmaxA
yedolAkeli
yoddhAyodd
yodhateshe
yoyaHshast
yuShmadord
